english_w,tulu_w
I am studying,ಯಾನ್ ಅಧ್ಯಯನ ಮಲ್ತೊಂದುಲ್ಲೆ
I am cooking food,ಯಾನ್ ನುಪ್ಪು ಮಲ್ತೊಂದುಲ್ಲೆ
I am cleaning the house,ಯಾನ್ ಇಲ್ಲ್ ಸ್ವಚ್ಛ ಮಲ್ತೊಂದುಲ್ಲೆ
I am reading a book,ಯಾನ್ ಒಂಜಿ ಪುಸ್ತಕ ಓದುದುಲ್ಲೆ
I am writing,ಯಾನ್ ಬರೆವೊಂದುಲ್ಲೆ
I am listening,ಯಾನ್ ಕೇನ್ವೊಂದುಲ್ಲೆ
I am watching TV,ಯಾನ್ ಟಿವಿ ತೂವೊಂದುಲ್ಲೆ
I am playing,ಯಾನ್ ಆಟ ಆಡೊಂದುಲ್ಲೆ
I am sleeping,ಯಾನ್ ನಿದ್ರೆ ಮಲ್ತೊಂದುಲ್ಲೆ
Wake up,ಲಕ್ಕ್
Hurry up,ಬೇಕ ಮಾಲ್ಪುಲೆ
Don’t be late,ತಡ ಆವಡ್
love,ಪ್ರೀತಿ
